Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
hallcryp,"Hallaxa cryptica Gosliner & Johnson, 1994",Hallaxa cryptica,Hallaxa,cryptica,,,"Gosliner & Johnson, 1994",,,,,
chromari,"Chromodoris marislae Bertsch, 1973",Chromodoris marislae,Chromodoris,marislae,,,"Bertsch, 1973",,,,,
discmacu,"Discodoris maculosa Bergh, 1884",Discodoris maculosa,Discodoris,maculosa,,,"Bergh, 1884",,,,,
janoexim,"Janolus eximius  Miller & Willan, 1986",Janolus eximius,Janolus,eximius,,,"Miller & Willan, 1986",,,,,
flabsp9,Flabellina sp. 9,Flabellina sp. 9,Flabellina,sp. 9,,,,,,,,
oxynsp2,Oxynoe sp. 2.,Oxynoe sp. 2.,Oxynoe,sp. 2.,,,,,,,,
phylcard,"Phyllidiopsis cardinalis  Bergh, 1875",Phyllidiopsis cardinalis,Phyllidiopsis,cardinalis,,,"Bergh, 1875",,,,,
astespon,"Asteronotus spongicolus Gosliner & Valdes, 2002",Asteronotus spongicolus,Asteronotus,spongicolus,,,"Gosliner & Valdes, 2002",,,,,
limenodo,"Limenandra nodosa Haefelfinger & Stamm, 1958",Limenandra nodosa,Limenandra,nodosa,,,"Haefelfinger & Stamm, 1958",,,,,
hallchan,"Hallaxa chani Gosliner & Williams, 1975",Hallaxa chani,Hallaxa,chani,,,"Gosliner & Williams, 1975",,,,,
phyllodliza,"Phyllodesmium lizardensis Burghardt, Schroedl & Wagele, 2008",Phyllodesmium lizardensis,Phyllodesmium,lizardensis,,,"Burghardt, Schroedl & Wagele, 2008",,,,,
hervaffi,"Herviella affinis Baba, 1960",Herviella affinis,Herviella,affinis,,,"Baba, 1960",,,,,
chroluteop,"Chromodoris luteopunctata (Gantès, 1962)",Chromodoris luteopunctata,Chromodoris,luteopunctata,,,"(Gantès, 1962)",,,,,
marioran,Marionia sp.,Marionia sp.,Marionia,sp.,,, ,,,,,
aplysydn,"Aplysia sydneyensis Sowerby, 1869",Aplysia sydneyensis,Aplysia,sydneyensis,,,"Sowerby, 1869",,,,,
hypscape,"Hypselodoris capensis (Barnard, 1927)",Hypselodoris capensis,Hypselodoris,capensis,,,"(Barnard, 1927)",,,,,
micguam,"Micromelo guamensis (Quoy & Gaimard, 1825)?",Micromelo guamensis,Micromelo,guamensis,,,"(Quoy & Gaimard, 1825)?",,,,,
bosesp1,Bosellia sp. 1,Bosellia sp. 1,Bosellia,sp. 1,,,,,,,,
chrolori,"Chromodoris loringi (Angas, 1864)",Chromodoris loringi,Chromodoris,loringi,,,"(Angas, 1864)",,,,,
meliminu,"Melibe minuta Smith & Gosliner,  2003",Melibe minuta,Melibe,minuta,,,"Smith & Gosliner, 2003",,,,,
cuthnana,"Cuthona nana (Alder & Hancock, 1842)",Cuthona nana,Cuthona,nana,,,"(Alder & Hancock, 1842)",,,,,
chrohunt,"Chromodoris hunterae Rudman, 1983",Chromodoris hunterae,Chromodoris,hunterae,,,"Rudman, 1983",,,,,
dungocel,"Dunga ocellata (Alder & Hancock, 1864)",Dunga ocellata,Dunga,ocellata,,,"(Alder & Hancock, 1864)",,,,,
cerasinu,"Ceratosoma sinuatum (van Hasselt, 1824)",Ceratosoma sinuatum,Ceratosoma,sinuatum,,,"(van Hasselt, 1824)",,,,,
dorispal,"Doriopsilla spaldingi Valdes & Behrens, 1998",Doriopsilla spaldingi,Doriopsilla,spaldingi,,,"Valdes & Behrens, 1998",,,,,
thurline,"Thuridilla lineolata (Bergh, 1905)",Thuridilla lineolata,Thuridilla,lineolata,,,"(Bergh, 1905)",,,,,
trapdarv,"Trapania darvelli  Rudman, 1987",Trapania darvelli,Trapania,darvelli,,,"Rudman, 1987",,,,,
favojap,"Favorinus japonicus Baba, 1949",Favorinus japonicus,Favorinus,japonicus,,,"Baba, 1949",,,,,
eubrmisa,"Eubranchus misakiensis Baba, 1960",Eubranchus misakiensis,Eubranchus,misakiensis,,,"Baba, 1960",,,,,
okenhall,"Okenia hallucigenia Rudman, 2004",Okenia hallucigenia,Okenia,hallucigenia,,,"Rudman, 2004",,,,,
chrodeco1,Chromodoris decora  Colour Group,Chromodoris decora Colour Group,Chromodoris,decora,,Colour Group,,,,,,
atyssp1,Atys sp. 1,Atys sp. 1,Atys,sp. 1,,,,,,,,
philspec,"Philinopsis speciosa Pease, 1860",Philinopsis speciosa,Philinopsis,speciosa,,,"Pease, 1860",,,,,
bornstel,"Bornella stellifer (Adams & Reeve, 1848)",Bornella stellifer,Bornella,stellifer,,,"(Adams & Reeve, 1848)",,,,,
palizost,"Palio zosterae (ODonoghue, 1924)",Palio zosterae,Palio,zosterae,,,"(ODonoghue, 1924)",,,,,
chrosine,"Chromodoris sinensis Rudman, 1985",Chromodoris sinensis,Chromodoris,sinensis,,,"Rudman, 1985",,,,,
hypsorsi,"Hypselodoris orsinii (Verany, 1846)",Hypselodoris orsinii,Hypselodoris,orsinii,,,"(Verany, 1846)",,,,,
nembaure,"Nembrotha aurea Pola, Cervera & Gosliner, 2008",Nembrotha aurea,Nembrotha,aurea,,,"Pola, Cervera & Gosliner, 2008",,,,,
okenpurp,"Okenia purpureolineata Gosliner, 2004",Okenia purpureolineata,Okenia,purpureolineata,,,"Gosliner, 2004",,,,,
platygal,"Platydoris galbanus Burn, 1958",Platydoris galbanus,Platydoris,galbanus,,,"Burn, 1958",,,,,
armisp10,Armina sp. 10,Armina sp. 10,Armina,sp. 10,,,,,,,,
thurvirg,"Thuridilla virgata (Bergh, 1888)",Thuridilla virgata,Thuridilla,virgata,,,"(Bergh, 1888)",,,,,
actipapi,"Actinocyclus papillatus (Bergh, 1878)",Actinocyclus papillatus,Actinocyclus,papillatus,,,"(Bergh, 1878)",,,,,
hypsjuli,"Hypselodoris juliae Dacosta, Padula & Schroedl, 2010",Hypselodoris juliae,Hypselodoris,juliae,,,"Dacosta, Padula & Schroedl, 2010",,,,,
favosp4,Favorinus sp. 4,Favorinus sp. 4,Favorinus,sp. 4,,,,,,,,
chrokroh,"Chromodoris krohni (Verany, 1846)",Chromodoris krohni,Chromodoris,krohni,,,"(Verany, 1846)",,,,,
elysbang,"Elysia bangtawaensis Swennen, 1997",Elysia bangtawaensis,Elysia,bangtawaensis,,,"Swennen, 1997",,,,,
peltmarm,"Peltodoris marmorata (Bergh, 1898)",Peltodoris marmorata,Peltodoris,marmorata,,,"(Bergh, 1898)",,,,,
phidsala,"Phidiana salaamica Rudman, 1980",Phidiana salaamica,Phidiana,salaamica,,,"Rudman, 1980",,,,,
mexiport,"Mexichromis porterae (Cockerell, 1902)",Mexichromis porterae,Mexichromis,porterae,,,"(Cockerell, 1902)",,,,,
bullgoul,"Bulla gouldiana Pilsbry, 1893",Bulla gouldiana,Bulla,gouldiana,,,"Pilsbry, 1893",,,,,
dotoform,"Doto formosa Verrill, 1875",Doto formosa,Doto,formosa,,,"Verrill, 1875",,,,,
tamalima,"Tamanovalva limax Kawaguti & Baba, 1959",Tamanovalva limax,Tamanovalva,limax,,,"Kawaguti & Baba, 1959",,,,,
stilsp1,Stiliger sp. 1,Stiliger sp. 1,Stiliger,sp. 1,,,,,,,,
tyrinobi,"Tyrinna nobilis Bergh, 1898",Tyrinna nobilis,Tyrinna,nobilis,,,"Bergh, 1898",,,,,
odonguam,"Odontoglaja guamensis Rudman, 1978",Odontoglaja guamensis,Odontoglaja,guamensis,,,"Rudman, 1978",,,,,
halgbryc,"Halgerda brycei Fahey & Gosliner, 2001",Halgerda brycei,Halgerda,brycei,,,"Fahey & Gosliner, 2001",,,,,
elyssp9,Elysia sp. 9,Elysia sp. 9,Elysia,sp. 9,,,,,,,,
pleufors,"Pleurobranchus forskalii  (Ruppell & Leuckart, 1828)",Pleurobranchus forskalii,Pleurobranchus,forskalii,,,"(Ruppell & Leuckart, 1828)",,,,,
glosrubr,"Glossodoris rubroannulata Rudman, 1986",Glossodoris rubroannulata,Glossodoris,rubroannulata,,,"Rudman, 1986",,,,,
eubroliv,"Eubranchus olivaceus (ODonoghue, 1922)",Eubranchus olivaceus,Eubranchus,olivaceus,,,"(ODonoghue, 1922)",,,,,
phylburn,"Phyllidiopsis burni Brunckhorst, 1993",Phyllidiopsis burni,Phyllidiopsis,burni,,,"Brunckhorst, 1993",,,,,
hanccali,"Hancockia californica MacFarland, 1923",Hancockia californica,Hancockia,californica,,,"MacFarland, 1923",,,,,
chropete,"Chromodoris petechialis (Gould,  1852)",Chromodoris petechialis,Chromodoris,petechialis,,,"(Gould, 1852)",,,,,
cadlmode,"Cadlina modesta Macfarland, 1966",Cadlina modesta,Cadlina,modesta,,,"Macfarland, 1966",,,,,
risbpulc,"Risbecia pulchella (Ruppell & Leuckart, 1828)",Risbecia pulchella,Risbecia,pulchella,,,"(Ruppell & Leuckart, 1828)",,,,,
polycape,"Polycera capensis Quoy & Gaimard, 1824",Polycera capensis,Polycera,capensis,,,"Quoy & Gaimard, 1824",,,,,
dotoussi,"Doto ussi Ortea, 1982",Doto ussi,Doto,ussi,,,"Ortea, 1982",,,,,
traptodd,"Trapania toddi Rudman, 1987",Trapania toddi,Trapania,toddi,,,"Rudman, 1987",,,,,
okenacad,"Okenia academica  Camacho-García & Gosliner, 2004",Okenia academica,Okenia,academica,,,"Camacho-García & Gosliner, 2004",,,,,
phidanul,"Phidiana anulifera (Baba, 1949)",Phidiana anulifera,Phidiana,anulifera,,,"(Baba, 1949)",,,,,
chelorch,"Chelidonura orchidaea Perrone, 1990",Chelidonura orchidaea,Chelidonura,orchidaea,,,"Perrone, 1990",,,,,
platocel,"Platydoris ocellata Dorgan, Valdes & Gosliner, 2002",Platydoris ocellata,Platydoris,ocellata,,,"Dorgan, Valdes & Gosliner, 2002",,,,,
siphflav,"Siphopteron flavum (Tokioka & Baba, 1964)",Siphopteron flavum,Siphopteron,flavum,,,"(Tokioka & Baba, 1964)",,,,,
stylstri,"Stylocheilus striatus (Quoy & Gaimard, 1832)",Stylocheilus striatus,Stylocheilus,striatus,,,"(Quoy & Gaimard, 1832)",,,,,
stilberg,"Stiliger berghi Baba, 1937",Stiliger berghi,Stiliger,berghi,,,"Baba, 1937",,,,,
chrosp2,Chromodoris sp. 2.,Chromodoris sp. 2.,Chromodoris,sp. 2.,,,,,,,,
ringconf,"Ringicula conformis Monterosato, 1877",Ringicula conformis,Ringicula,conformis,,,"Monterosato, 1877",,,,,
spurmajo,"Spurilla major (Eliot, 1903)",Spurilla major,Spurilla,major,,,"(Eliot, 1903)",,,,,
elyscatu,"Elysia catulus (Gould, 1870)",Elysia catulus,Elysia,catulus,,,"(Gould, 1870)",,,,,
flabexop,"Flabellina exoptata  Gosliner & Willan, 1991",Flabellina exoptata,Flabellina,exoptata,,,"Gosliner & Willan, 1991",,,,,
maxamill,"Maxacteon milleri Rudman, 1971",Maxacteon milleri,Maxacteon,milleri,,,"Rudman, 1971",,,,,
phylsphi,"Phyllidiopsis sphingis Brunckhorst, 1993",Phyllidiopsis sphingis,Phyllidiopsis,sphingis,,,"Brunckhorst, 1993",,,,,
cuthrube,"Cuthona rubescens Picton & Brown, 1978",Cuthona rubescens,Cuthona,rubescens,,,"Picton & Brown, 1978",,,,,
tritsp9,Tritoniid sp. 9,Tritoniid sp. 9,Tritoniid,sp. 9,,,,,,,,
dotosp9,Doto sp. 9,Doto sp. 9,Doto,sp. 9,,,,,,,,
geitheat,"Geitodoris heathi (Macfarland, 1905)",Geitodoris heathi,Geitodoris,heathi,,,"(Macfarland, 1905)",,,,,
elyshira,"Elysia hirasei Baba, 1955",Elysia hirasei,Elysia,hirasei,,,"Baba, 1955",,,,,
nembsp12,Nembrotha sp. 12,Nembrotha sp. 12,Nembrotha,sp. 12,,,,,,,,
bertedwa,"Berthellina edwardsii (Vayssiere, 1896)",Berthellina edwardsii,Berthellina,edwardsii,,,"(Vayssiere, 1896)",,,,,
hypspaul,"Hypselodoris paulinae Gosliner & Johnson, 1999",Hypselodoris paulinae,Hypselodoris,paulinae,,,"Gosliner & Johnson, 1999",,,,,
phylcryp,"Phyllodesmium crypticum Rudman, 1981",Phyllodesmium crypticum,Phyllodesmium,crypticum,,,"Rudman, 1981",,,,,
robolute,"Roboastra luteolineata (Baba, 1936)",Roboastra luteolineata,Roboastra,luteolineata,,,"(Baba, 1936)",,,,,
atagalba,"Atagema alba (ODonoghue, 1927)",Atagema alba,Atagema,alba,,,"(ODonoghue, 1927)",,,,,
dendwart,"Dendrodoris warta Marcus & Gallagher, 1976",Dendrodoris warta,Dendrodoris,warta,,,"Marcus & Gallagher, 1976",,,,,
metaseto,"Metaruncina setoensis (Baba, 1954)",Metaruncina setoensis,Metaruncina,setoensis,,,"(Baba, 1954)",,,,,
jorutome,"Jorunna tomentosa (Cuvier, 1804)",Jorunna tomentosa,Jorunna,tomentosa,,,"(Cuvier, 1804)",,,,,
melijapo,"Melibe japonica Eliot, 1913",Melibe japonica,Melibe,japonica,,,"Eliot, 1913",,,,,
phylopsp1,Phyllidiopsis sp. 1.,Phyllidiopsis sp. 1.,Phyllidiopsis,sp. 1.,,,,,,,,
chrocoll,"Chromodoris collingwoodi Rudman, 1987",Chromodoris collingwoodi,Chromodoris,collingwoodi,,,"Rudman, 1987",,,,,
robograc,"Roboastra gracilis (Bergh, 1877)",Roboastra gracilis,Roboastra,gracilis,,,"(Bergh, 1877)",,,,,
halgsp5,Halgerda sp. 5,Halgerda sp. 5,Halgerda,sp. 5,,,,,,,,
chrocflo,Chromodoris cf. lochi,Chromodoris cf. lochi,Chromodoris,cf. lochi,,,,,,,,
chrkuit,"Chromodoris kuiteri Rudman, 1982",Chromodoris kuiteri,Chromodoris,kuiteri,,,"Rudman, 1982",,,,,
flabsalm,"Flabellina salmonacea (Cuthouy, 1838)",Flabellina salmonacea,Flabellina,salmonacea,,,"(Cuthouy, 1838)",,,,,
halgguah,"Halgerda guahan Carlson & Hoff, 1993",Halgerda guahan,Halgerda,guahan,,,"Carlson & Hoff, 1993",,,,,
sagornat,"Sagaminopteron ornatum Tokioka & Baba, 1964",Sagaminopteron ornatum,Sagaminopteron,ornatum,,,"Tokioka & Baba, 1964",,,,,
philaper,"Philine aperta (Linnaeus, 1767)",Philine aperta,Philine,aperta,,,"(Linnaeus, 1767)",,,,,
gymnsp3,Gymnodoris sp. 3.,Gymnodoris sp. 3.,Gymnodoris,sp. 3.,,,,,,,,
cuthamoe,"Cuthona amoena (Alder & Hancock, 1845)",Cuthona amoena,Cuthona,amoena,,,"(Alder & Hancock, 1845)",,,,,
gonicast,"Goniodoris castanea Alder & Hancock, 1845",Goniodoris castanea,Goniodoris,castanea,,,"Alder & Hancock, 1845",,,,,
flabcape,"Flabellina capensis  (Thiele, 1925)",Flabellina capensis,Flabellina,capensis,,,"(Thiele, 1925)",,,,,
armisp8,Armina sp. 8,Armina sp. 8,Armina,sp. 8,,,,,,,,
chroneon,"Chromodoris neona  (Marcus, 1955)",Chromodoris neona,Chromodoris,neona,,,"(Marcus, 1955)",,,,,
platinfr,"Platydoris inframaculata (Abraham, 1877)",Platydoris inframaculata,Platydoris,inframaculata,,,"(Abraham, 1877)",,,,,
glossp7,Glossodoris sp. 7.,Glossodoris sp. 7.,Glossodoris,sp. 7.,,,,,,,,
ilbimari,"Ilbia mariana Hoff & Carlson, 1990",Ilbia mariana,Ilbia,mariana,,,"Hoff & Carlson, 1990",,,,,
dendhery,"Dendrodoris herytra Valdés & Ortea, 1996",Dendrodoris herytra,Dendrodoris,herytra,,,"Valdés & Ortea, 1996",,,,,
flabpoen,"Flabellina poenicia (Burn, 1957)",Flabellina poenicia,Flabellina,poenicia,,,"(Burn, 1957)",,,,,
janocfhyal,Janolus cf. hyalinus,Janolus cf. hyalinus,Janolus,cf. hyalinus,,,,,,,,
armisemp,"Armina semperi (Bergh, 1861)",Armina semperi,Armina,semperi,,,"(Bergh, 1861)",,,,,
siphbrun,Siphopteron brunneomarginatum,Siphopteron brunneomarginatum,Siphopteron,brunneomarginatum,,, ,,,,,
pyruhoer,"Pyrunculus hoernesii  (Weinkauff, 1866)",Pyrunculus hoernesii,Pyrunculus,hoernesii,,,"(Weinkauff, 1866)",,,,,
platpulc,"Platydoris pulchra Eliot, 1904",Platydoris pulchra,Platydoris,pulchra,,,"Eliot, 1904",,,,,
cadllaev,"Cadlina laevis Linnaeus, 1767",Cadlina laevis,Cadlina,laevis,,,"Linnaeus, 1767",,,,,
glosghan,"Glossodoris ghanensis Edmunds, 1968",Glossodoris ghanensis,Glossodoris,ghanensis,,,"Edmunds, 1968",,,,,
aglajidsp3,Aglajid sp. 3,Aglajid sp. 3,Aglajid,sp. 3,,,,,,,,
phyllafo,"Phyllaplysia lafonti  (Fischer, 1870)",Phyllaplysia lafonti,Phyllaplysia,lafonti,,,"(Fischer, 1870)",,,,,
cadlpell,"Cadlina pellucida (Risso, 1826)",Cadlina pellucida,Cadlina,pellucida,,,"(Risso, 1826)",,,,,
erconigr,"Ercolania nigra (Lemche, 1935)",Ercolania nigra,Ercolania,nigra,,,"(Lemche, 1935)",,,,,
philvirg,"Philinopsis virgo (Rudman, 1968)",Philinopsis virgo,Philinopsis,virgo,,,"(Rudman, 1968)",,,,,
dermsp2,Dermatobranchus sp. 2.,Dermatobranchus sp. 2.,Dermatobranchus,sp. 2.,,,,,,,,
diappapi,"Diaphorodoris papillata Portmann & Sandmeier, 1960",Diaphorodoris papillata,Diaphorodoris,papillata,,,"Portmann & Sandmeier, 1960",,,,,
siphfusc,"Siphopteron fuscum (Baba & Tokioka, 1965)",Siphopteron fuscum,Siphopteron,fuscum,,,"(Baba & Tokioka, 1965)",,,,,
aldicoop,"Aldisa cooperi Robilliard & Baba, 1972",Aldisa cooperi,Aldisa,cooperi,,,"Robilliard & Baba, 1972",,,,,
halgtheo,"Halgerda theobroma Fahey & Gosliner, 2001",Halgerda theobroma,Halgerda,theobroma,,,"Fahey & Gosliner, 2001",,,,,
aldierwi,"Aldisa erwinkoehleri  Perrone, 2001",Aldisa erwinkoehleri,Aldisa,erwinkoehleri,,,"Perrone, 2001",,,,,
tritmani,"Tritonia manicata Deshayes, 1853",Tritonia manicata,Tritonia,manicata,,,"Deshayes, 1853",,,,,
bornsp1,Bornella sp. 1.,Bornella sp. 1.,Bornella,sp. 1.,,,,,,,,
chrograh,"Chromodoris grahami Thompson, 1980",Chromodoris grahami,Chromodoris,grahami,,,"Thompson, 1980",,,,,
halgtoli,"Halgerda toliara Fahey & Gosliner, 1999",Halgerda toliara,Halgerda,toliara,,,"Fahey & Gosliner, 1999",,,,,
okenvirg,"Okenia virginiae  Gosliner, 2004",Okenia virginiae,Okenia,virginiae,,,"Gosliner, 2004",,,,,
traptora,"Trapania tora Gosliner & Fahey, 2008",Trapania tora,Trapania,tora,,,"Gosliner & Fahey, 2008",,,,,
activerr,"Actinocyclus verrucosus Ehrenberg, 1831",Actinocyclus verrucosus,Actinocyclus,verrucosus,,,"Ehrenberg, 1831",,,,,
flabtril,"Flabellina trilineata  (ODonoghue, 1921)",Flabellina trilineata,Flabellina,trilineata,,,"(ODonoghue, 1921)",,,,,
flabpell,"Flabellina pellucida (Alder & Hancock, 1843)",Flabellina pellucida,Flabellina,pellucida,,,"(Alder & Hancock, 1843)",,,,,
astecesp,"Asteronotus cespitosus  (van Hasselt, 1824)",Asteronotus cespitosus,Asteronotus,cespitosus,,,"(van Hasselt, 1824)",,,,,
gloselec,"Glossodoris electra Rudman, 1990",Glossodoris electra,Glossodoris,electra,,,"Rudman, 1990",,,,,
hypsdoll,"Hypselodoris dollfusi (Pruvot-Fol, 1933)",Hypselodoris dollfusi,Hypselodoris,dollfusi,,,"(Pruvot-Fol, 1933)",,,,,
eubrfarr,"Eubranchus farrani (Alder & Hancock, 1844)",Eubranchus farrani,Eubranchus,farrani,,,"(Alder & Hancock, 1844)",,,,,
cuthbarb,"Cuthona barbadiana Edmunds & Just, 1983",Cuthona barbadiana,Cuthona,barbadiana,,,"Edmunds & Just, 1983",,,,,
phylserr,"Phyllodesmium serratum (Baba, 1949)",Phyllodesmium serratum,Phyllodesmium,serratum,,,"(Baba, 1949)",,,,,
cratline,"Cratena lineata (Eliot, 1905)",Cratena lineata,Cratena,lineata,,,"(Eliot, 1905)",,,,,
platsp5,Platydoris sp. 5,Platydoris sp. 5,Platydoris,sp. 5,,,,,,,,
corasp1,Corambe sp. 1,Corambe sp. 1,Corambe,sp. 1,,,,,,,,
tambtenu,"Tambja tenuilineata Miller & Haagh, 2005",Tambja tenuilineata,Tambja,tenuilineata,,,"Miller & Haagh, 2005",,,,,
chrokita,"Chromodoris kitae Gosliner, 1994",Chromodoris kitae,Chromodoris,kitae,,,"Gosliner, 1994",,,,,
chrocfaf,"Chromodoris cf. africana Rudman, 1982",Chromodoris cf. africana,Chromodoris,cf. africana,,,"Rudman, 1982",,,,,
gonicfjoub,"Goniodoris cf. joubini Risbec, 1928",Goniodoris cf. joubini,Goniodoris,cf. joubini,,,"Risbec, 1928",,,,,
durvsimi,"Durvilledoris similaris Rudman, 1986",Durvilledoris similaris,Durvilledoris,similaris,,,"Rudman, 1986",,,,,
digiperp,"Digidentis perplexa (Burn, l957)",Digidentis perplexa,Digidentis,perplexa,,,"(Burn, l957)",,,,,
rhodvera,"Rhodope veranii Kolliker, 1847",Rhodope veranii,Rhodope,veranii,,,"Kolliker, 1847",,,,,
roboleon,"Roboastra leonis Pola, Cervera & Gosliner, 2005",Roboastra leonis,Roboastra,leonis,,,"Pola, Cervera & Gosliner, 2005",,,,,
cadlspar,"Cadlina sparsa  (Odhner, 1921)",Cadlina sparsa,Cadlina,sparsa,,,"(Odhner, 1921)",,,,,
phesmino,"Phestilla minor Rudman, 1981",Phestilla minor,Phestilla,minor,,,"Rudman, 1981",,,,,
thurcarl,"Thuridilla carlsoni Gosliner, 1995",Thuridilla carlsoni,Thuridilla,carlsoni,,,"Gosliner, 1995",,,,,
noucroc,"Noumea crocea Rudman, 1986",Noumea crocea,Noumea,crocea,,,"Rudman, 1986",,,,,
platangu,"Platydoris angustipes (Morch, 1863)",Platydoris angustipes,Platydoris,angustipes,,,"(Morch, 1863)",,,,,
elyssp5,Elysia sp. 5.,Elysia sp. 5.,Elysia,sp. 5.,,,,,,,,
trapsp2,Trapania sp. 2.,Trapania sp. 2.,Trapania,sp. 2.,,,,,,,,
costsp1,Costasiella sp. 1.,Costasiella sp. 1.,Costasiella,sp. 1.,,,,,,,,
phansmar,"Phanerophthalmus smaragdinus  (Ruppell & Leuckart, 1828)",Phanerophthalmus smaragdinus,Phanerophthalmus,smaragdinus,,,"(Ruppell & Leuckart, 1828)",,,,,
dendazin,"Dendrodoris azineae Behrens & Valdes, 2004",Dendrodoris azineae,Dendrodoris,azineae,,,"Behrens & Valdes, 2004",,,,,
palidubi,"Palio dubia (M. Sars, 1829)",Palio dubia,Palio,dubia,,,"(M. Sars, 1829)",,,,,
maxaflam,"Maxacteon flammea  (Gmelin, 1791)",Maxacteon flammea,Maxacteon,flammea,,,"(Gmelin, 1791)",,,,,
galeoion,"Galeojanolus ioannae  Miller, 1971",Galeojanolus ioannae,Galeojanolus,ioannae,,,"Miller, 1971",,,,,
bertafri,"Berthella africana (Pruvot-Fol, 1953)",Berthella africana,Berthella,africana,,,"(Pruvot-Fol, 1953)",,,,,
phylmona,"Phyllidiopsis monacha  (Yonow, 1986)",Phyllidiopsis monacha,Phyllidiopsis,monacha,,,"(Yonow, 1986)",,,,,
phylphip,"Phyllidiopsis phiphiensis Brunckhorst, 1993",Phyllidiopsis phiphiensis,Phyllidiopsis,phiphiensis,,,"Brunckhorst, 1993",,,,,
dendsubr,"Dendronotus subramosus MacFarland, 1966",Dendronotus subramosus,Dendronotus,subramosus,,,"MacFarland, 1966",,,,,
greieleg,"Greilada elegans Bergh, 1894",Greilada elegans,Greilada,elegans,,,"Bergh, 1894",,,,,
flabaffi,"Flabellina affinis (Gmelin, 1791)",Flabellina affinis,Flabellina,affinis,,,"(Gmelin, 1791)",,,,,
colpsp2,Colpodaspis sp. 2,Colpodaspis sp. 2,Colpodaspis,sp. 2,,,,,,,,
nembsp1,Nembrotha sp. 1,Nembrotha sp. 1,Nembrotha,sp. 1,,,,,,,,
halgalbo,"Halgerda albocristata Gosliner & Fahey, 1998",Halgerda albocristata,Halgerda,albocristata,,,"Gosliner & Fahey, 1998",,,,,
phyllodrudm,"Phyllodesmium rudmani Burghardt & Gosliner, 2006",Phyllodesmium rudmani,Phyllodesmium,rudmani,,,"Burghardt & Gosliner, 2006",,,,,
tritsp5,Tritoniid sp. 5,Tritoniid sp. 5,Tritoniid,sp. 5,,,,,,,,
chelfulv,"Chelidonura fulvipunctata Baba, 1938",Chelidonura fulvipunctata,Chelidonura,fulvipunctata,,,"Baba, 1938",,,,,
hamicyan,"Haminoea cyanomarginata Heller & Thompson, 1983",Haminoea cyanomarginata,Haminoea,cyanomarginata,,,"Heller & Thompson, 1983",,,,,
dendgran,"Dendrodoris grandiflora Rapp, 1827",Dendrodoris grandiflora,Dendrodoris,grandiflora,,,"Rapp, 1827",,,,,
elysclar,"Elysia clarki Pierce, Curtis, Massey, Bass, Karl & Finney, 2006",Elysia clarki,Elysia,clarki,,,"Pierce, Curtis, Massey, Bass, Karl & Finney, 2006",,,,,
elysloba,"Elysia lobata Gould, 1852",Elysia lobata,Elysia,lobata,,,"Gould, 1852",,,,,
chroambi,"Chromodoris ambiguus Rudman, 1987",Chromodoris ambiguus,Chromodoris,ambiguus,,,"Rudman, 1987",,,,,
philcyan,"Philinopsis cyanea (Martens, 1879)",Philinopsis cyanea,Philinopsis,cyanea,,,"(Martens, 1879)",,,,,
elysnigr,"Elysia cf. nigrocapitata  (Baba, 1957)",Elysia cf. nigrocapitata,Elysia,cf. nigrocapitata,,,"(Baba, 1957)",,,,,
armilove,"Armina loveni  (Bergh, 1860)",Armina loveni,Armina,loveni,,,"(Bergh, 1860)",,,,,
pupastri,"Pupa strigosa (Gould, 1859)",Pupa strigosa,Pupa,strigosa,,,"(Gould, 1859)",,,,,
hervyats,"Herviella yatsui (Baba, 1930)",Herviella yatsui,Herviella,yatsui,,,"(Baba, 1930)",,,,,
gonisavi,"Goniodoridella savignyi Pruvot-Fol, 1933",Goniodoridella savignyi,Goniodoridella,savignyi,,,"Pruvot-Fol, 1933",,,,,
glostoms,"Glossodoris tomsmithi Bertsch & Gosliner, 1989",Glossodoris tomsmithi,Glossodoris,tomsmithi,,,"Bertsch & Gosliner, 1989",,,,,
glossp11,Glossodoris sp. 11,Glossodoris sp. 11,Glossodoris,sp. 11,,,,,,,,
phyllodsp6,Phyllodesmium sp. 6,Phyllodesmium sp. 6,Phyllodesmium,sp. 6,,,,,,,,
polysp2,Polycera sp. 2.,Polycera sp. 2.,Polycera,sp. 2.,,,,,,,,
elyssp11,Elysia sp. 11,Elysia sp. 11,Elysia,sp. 11,,,,,,,,
dotosp5,Doto sp. 5.,Doto sp. 5.,Doto,sp. 5.,,,,,,,,
adaljann,"Adalaria jannae Millen, 1987",Adalaria jannae,Adalaria,jannae,,,"Millen, 1987",,,,,
dendatro,"Dendrodoris atromaculata (Alder & Hancock, 1864)",Dendrodoris atromaculata,Dendrodoris,atromaculata,,,"(Alder & Hancock, 1864)",,,,,
noumsuda,"Noumea sudanica Rudman, 1985",Noumea sudanica,Noumea,sudanica,,,"Rudman, 1985",,,,,
nembgutt,"Nembrotha guttata Yonow, 1993",Nembrotha guttata,Nembrotha,guttata,,,"Yonow, 1993",,,,,
fryelarr,"Fryeria larryi Brunckhorst, 1993",Fryeria larryi,Fryeria,larryi,,,"Brunckhorst, 1993",,,,,
