Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
hallhile,"Hallaxa hileenae Gosliner & Johnson, 1994",Hallaxa hileenae,Hallaxa,hileenae,,,"Gosliner & Johnson, 1994",,,,,
tritpleb,"Tritonia plebeia Johnston, 1828",Tritonia plebeia,Tritonia,plebeia,,,"Johnston, 1828",,,,,
okenlamb,"Okenia lambat  Gosliner, 2004",Okenia lambat,Okenia,lambat,,,"Gosliner, 2004",,,,,
rostpulc,"Rostanga pulchra MacFarland, 1905",Rostanga pulchra,Rostanga,pulchra,,,"MacFarland, 1905",,,,,
kentrube,"Jorunna rubescens Bergh, 1876",Jorunna rubescens,Jorunna,rubescens,,,"Bergh, 1876",,,,,
chroaureom,"Chromodoris aureomarginata Cheeseman, 1881",Chromodoris aureomarginata,Chromodoris,aureomarginata,,,"Cheeseman, 1881",,,,,
cyerkiku,"Cyerce kikutarobabai Hamatani, 1976",Cyerce kikutarobabai,Cyerce,kikutarobabai,,,"Hamatani, 1976",,,,,
flabsp8,Flabellina sp. 8,Flabellina sp. 8,Flabellina,sp. 8,,,,,,,,
glosunda,"Glossodoris undaurum Rudman, 1985",Glossodoris undaurum,Glossodoris,undaurum,,,"Rudman, 1985",,,,,
caldaffi,"Caldukia affinis  (Burn, 1958)",Caldukia affinis,Caldukia,affinis,,,"(Burn, 1958)",,,,,
trapsp4,Trapania sp. 4,Trapania sp. 4,Trapania,sp. 4,,,,,,,,
tambgabr,"Tambja gabrielae Pola, Cervera & Gosliner, 2005",Tambja gabrielae,Tambja,gabrielae,,,"Pola, Cervera & Gosliner, 2005",,,,,
chromacf,"Chromodoris macfarlandi Cockerell, 1902",Chromodoris macfarlandi,Chromodoris,macfarlandi,,,"Cockerell, 1902",,,,,
eubrsanj,"Eubranchus sanjuanensis Roller, 1972",Eubranchus sanjuanensis,Eubranchus,sanjuanensis,,,"Roller, 1972",,,,,
elyssp3,Elysia sp. 3.,Elysia sp. 3.,Elysia,sp. 3.,,,,,,,,
favoelen,"Favorinus elenalexiae Garcia & Troncoso, 2001",Favorinus elenalexiae,Favorinus,elenalexiae,,,"Garcia & Troncoso, 2001",,,,,
cliokroh,Cliopsis krohni,Cliopsis krohni,Cliopsis,krohni,,, ,,,,,
cuthsp8,Cuthona sp. 8,Cuthona sp. 8,Cuthona,sp. 8,,,,,,,,
glosplum,"Glossodoris plumbea (Pagenstecher, 1877)",Glossodoris plumbea,Glossodoris,plumbea,,,"(Pagenstecher, 1877)",,,,,
learevel,"Learchis evelinae Edmunds & Just, 1983",Learchis evelinae,Learchis,evelinae,,,"Edmunds & Just, 1983",,,,,
hypsbili,"Hypselodoris bilineata (Pruvot-Fol, 1953)",Hypselodoris bilineata,Hypselodoris,bilineata,,,"(Pruvot-Fol, 1953)",,,,,
rostbass,"Rostanga bassia Rudman & Avern, 1989",Rostanga bassia,Rostanga,bassia,,,"Rudman & Avern, 1989",,,,,
archodhn,"Archidoris odhneri (MacFarland, 1966)",Archidoris odhneri,Archidoris,odhneri,,,"(MacFarland, 1966)",,,,,
procmucr,"Proctonotus mucroniferus  (Alder & Hancock, 1844)",Proctonotus mucroniferus,Proctonotus,mucroniferus,,,"(Alder & Hancock, 1844)",,,,,
cyeranti,"Cyerce antillensis Engel, 1927",Cyerce antillensis,Cyerce,antillensis,,,"Engel, 1927",,,,,
plococel,"Plocamopherus ocellatus Rueppell & Leuckart, 1828",Plocamopherus ocellatus,Plocamopherus,ocellatus,,,"Rueppell & Leuckart, 1828",,,,,
bergverr,"Berghia verrucicornis (A. Costa, 1864)",Berghia verrucicornis,Berghia,verrucicornis,,,"(A. Costa, 1864)",,,,,
melidigi,"Melibe digitata Gosliner & Smith, 2003",Melibe digitata,Melibe,digitata,,,"Gosliner & Smith, 2003",,,,,
chrosp8,Chromodoris sp. 8.,Chromodoris sp. 8.,Chromodoris,sp. 8.,,,,,,,,
