#,IMAGE FILENAME,AUTHOR,CAPTION
553,Ex_aga_diag273.jpg,NC Duke,Diagnostic feature
554,Ex_aga_distrib2.jpg,NC Duke,Distribution in the world
555,Ex_aga_estuar1.jpg,Diana Kleine,Estuarine occurrence
556,Ex_aga_flower1.jpg,NC Duke,Flower features
557,Ex_aga_flower2.jpg,NC Duke,Flower features
558,Ex_aga_fruit1.jpg,NC Duke,Fruit or propagule
559,Ex_aga_fruit2.jpg,NC Duke,Fruit or propagule
560,Ex_aga_leaves1.jpg,NC Duke,Leaf characteristics and shape
561,Ex_aga_leaves2.jpg,NC Duke,Leaf characteristics and shape
562,Ex_aga_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
563,Ex_aga_siloB.jpg,Deirdre Bean,Silohuette of growth habit
564,Ex_aga_stembase1.jpg,NC Duke,Stembase characteristics
565,Ex_aga_tree1.jpg,NC Duke,Tree form
566,Ex_aga_tree6A.jpg,NC Duke,Tree form
567,Ex_aga_zone1.jpg,Diana Kleine,Intertidal zone position
568,Ex_aga-aga_bark2.jpg,NC Duke,Bark characteristics
569,Ex_aga-aga_bark3.jpg,NC Duke,Bark characteristics
570,Ex_aga-aga_diag2.jpg,NC Duke,Diagnostic feature
571,Ex_aga-aga_distribW2.jpg,NC Duke,Distribution in the world
572,Ex_aga-aga_flowerF5.jpg,NC Duke,Flower features
573,Ex_aga-aga_flowerM3.jpg,NC Duke,Flower features
574,Ex_aga-aga_fruit2.JPG,NC Duke,Fruit or propagule
575,Ex_aga-aga_fruit3.JPG,NC Duke,Fruit or propagule
576,Ex_aga-aga_leaves2.JPG,NC Duke,Leaf characteristics and shape
577,Ex_aga-aga_leaves7.jpg,NC Duke,Leaf characteristics and shape
578,Ex_aga-aga_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
579,Ex_aga-aga_siloB.jpg,Deirdre Bean,Silohuette of growth habit
580,Ex_aga-aga_tree6B.jpg,NC Duke,Tree form
581,Ex_aga-ova_diag21.JPG,NC Duke,Diagnostic feature
582,Ex_aga-ova_distribW2.jpg,NC Duke,Distribution in the world
583,Ex_aga-ova_fruit1.jpg,NC Duke,Fruit or propagule
584,Ex_aga-ova_leaves1.jpg,NC Duke,Leaf characteristics and shape
585,Ex_aga-ova_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
586,Ex_aga-ova_siloB.jpg,Deirdre Bean,Silohuette of growth habit
587,Ex_aga-ova_tree1.jpg,NC Duke,Tree form
588,Ex_ind_bark1a.jpg,NC Duke,Bark characteristics
589,Ex_ind_distribW2B.jpg,NC Duke,Distribution in the world
590,Ex_ind_flower1a.jpg,NC Duke,Flower features
591,Ex_ind_flower2a.jpg,NC Duke,Flower features
592,Ex_ind_fruit1a.jpg,NC Duke,Fruit or propagule
593,Ex_ind_fruit2.JPG,NC Duke,Fruit or propagule
594,Ex_ind_fruit3w.jpg,NC Duke,Fruit or propagule
595,Ex_ind_leaves1a.jpg,NC Duke,Leaf characteristics and shape
596,Ex_ind_siloB.jpg,Deirdre Bean,Silohuette of growth habit
597,Ex_ind_tree1a.jpg,NC Duke,Tree form
598,He_fom_distribW2.jpg,NC Duke,Distribution in the world
599,He_fom_flower1.jpg,NC Duke,Flower features
600,He_fom_flower2.jpg,NC Duke,Flower features
601,He_fom_flower6A.jpg,NC Duke,Flower features
602,He_fom_fruit1.jpg,NC Duke,Fruit or propagule
603,He_fom_fruit6A.jpg,NC Duke,Fruit or propagule
604,He_fom_leaves1.jpg,NC Duke,Leaf characteristics and shape
605,He_fom_leaves2.jpg,NC Duke,Leaf characteristics and shape
606,He_fom_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
607,He_fom_siloB.jpg,Deirdre Bean,Silohuette of growth habit
608,He_fom_stembase3.jpg,NC Duke,Stembase characteristics
609,He_fom_tree2.jpg,NC Duke,Tree form
610,He_glo_distribW2.jpg,NC Duke,Distribution in the world
611,He_glo_leaves1w.jpg,NC Duke,Leaf characteristics and shape
612,He_glo_leaves2w.jpg,NC Duke,Leaf characteristics and shape
613,He_glo_siloBC.jpg,Deirdre Bean,Silohuette of growth habit
614,He_lit_bark2.jpg,NC Duke,Bark characteristics
615,He_lit_distribW2.jpg,NC Duke,Distribution in the world
616,He_lit_flower1.JPG,NC Duke,Flower features
617,He_lit_flower4.JPG,NC Duke,Flower features
618,He_lit_fruit2.jpg,NC Duke,Fruit or propagule
619,He_lit_fruit3.JPG,NC Duke,Fruit or propagule
620,He_lit_fruit5.jpg,NC Duke,Fruit or propagule
621,He_lit_leaves1.JPG,NC Duke,Leaf characteristics and shape
622,He_lit_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
623,He_lit_siloB.jpg,NC Duke,Silohuette of growth habit
624,He_lit_stembase3.jpg,NC Duke,Stembase characteristics
625,He_lit_stembase6A.jpg,NC Duke,Stembase characteristics
626,He_lit_tree3.jpg,NC Duke,Tree form
627,He_lit_tree6A.jpg,NC Duke, Tree form
628,Hi_til_bark1.JPG,NC Duke,Bark characteristics
629,Hi_til_distribW2.jpg,NC Duke,Distribution in the world
630,Hi_til_flower1.JPG,NC Duke,Flower features
631,Hi_til_flower2.JPG,NC Duke,Flower features
632,Hi_til_flower4.JPG,NC Duke,Flower features
633,Hi_til_fruit4.JPG,NC Duke,Fruit or propagule
634,Hi_til_leaves3.JPG,NC Duke,Leaf characteristics and shape
635,Hi_til_siloCB.jpg,NC Duke,Silohuette of growth habit
